1 0
0	0.002829
0.001	0.002911
0.002	0.002995
0.003	0.003079
0.004	0.003164
0.005	0.003251
0.006	0.003339
0.007	0.003427
0.008	0.003517
0.009	0.003607
0.01	0.003699
0.011	0.003791
0.012	0.003884
0.013	0.003977
0.014	0.004071
0.015	0.004166
0.016	0.004261
0.017	0.004357
0.018	0.004453
0.019	0.004549
0.02	0.004646
0.021	0.004743
0.022	0.004839
0.023	0.004936
0.024	0.005033
0.025	0.005129
0.026	0.005226
0.027	0.005322
0.028	0.005417
0.029	0.005512
0.03	0.005607
0.031	0.005701
0.032	0.005794
0.033	0.005886
0.034	0.005977
0.035	0.006068
0.036	0.006157
0.037	0.006245
0.038	0.006332
0.039	0.006417
0.04	0.006501
0.041	0.006584
0.042	0.006664
0.043	0.006744
0.044	0.006821
0.045	0.006896
0.046	0.006970
0.047	0.007041
0.048	0.007111
0.049	0.007178
0.05	0.007243
0.051	0.007305
0.052	0.007365
0.053	0.007423
0.054	0.007478
0.055	0.007531
0.056	0.007581
0.057	0.007628
0.058	0.007672
0.059	0.007714
0.06	0.007752
0.061	0.007788
0.062	0.007821
0.063	0.007851
0.064	0.007877
0.065	0.007901
0.066	0.007922
0.067	0.007939
0.068	0.007953
0.069	0.007964
0.07	0.007972
0.071	0.007977
0.072	0.007979
0.073	0.007977
0.074	0.007972
0.075	0.007964
0.076	0.007953
0.077	0.007939
0.078	0.007922
0.079	0.007901
0.08	0.007877
0.081	0.007851
0.082	0.007821
0.083	0.007788
0.084	0.007752
0.085	0.007714
0.086	0.007672
0.087	0.007628
0.088	0.007581
0.089	0.007531
0.09	0.007478
0.091	0.007423
0.092	0.007365
0.093	0.007305
0.094	0.007243
0.095	0.007178
0.096	0.007111
0.097	0.007041
0.098	0.006970
0.099	0.006896
0.1	0.006821
0.101	0.006744
0.102	0.006664
0.103	0.006584
0.104	0.006501
0.105	0.006417
0.106	0.006332
0.107	0.006245
0.108	0.006157
0.109	0.006068
0.11	0.005977
0.111	0.005886
0.112	0.005794
0.113	0.005701
0.114	0.005607
0.115	0.005512
0.116	0.005417
0.117	0.005322
0.118	0.005226
0.119	0.005129
0.12	0.005033
0.121	0.004936
0.122	0.004839
0.123	0.004743
0.124	0.004646
0.125	0.004549
0.126	0.004453
0.127	0.004357
0.128	0.004261
0.129	0.004166
0.13	0.004071
0.131	0.003977
0.132	0.003884
0.133	0.003791
0.134	0.003699
0.135	0.003607
0.136	0.003517
0.137	0.003427
0.138	0.003339
0.139	0.003251
0.14	0.003164
0.141	0.003079
0.142	0.002995
0.143	0.002911
0.144	0.002829
0.145	0.002748
0.146	0.002669
0.147	0.002590
0.148	0.002513
0.149	0.002438
0.15	0.002363
0.151	0.002290
0.152	0.002218
0.153	0.002148
0.154	0.002079
0.155	0.002012
0.156	0.001946
0.157	0.001881
0.158	0.001818
0.159	0.001756
0.16	0.001696
0.161	0.001637
0.162	0.001579
0.163	0.001523
0.164	0.001468
0.165	0.001415
0.166	0.001363
0.167	0.001312
0.168	0.001263
0.169	0.001215
0.17	0.001169
0.171	0.001124
0.172	0.001080
0.173	0.001037
0.174	0.000996
0.175	0.000956
0.176	0.000917
0.177	0.000880
0.178	0.000843
0.179	0.000808
0.18	0.000774
0.181	0.000741
0.182	0.000709
0.183	0.000679
0.184	0.000649
0.185	0.000621
0.186	0.000593
0.187	0.000567
0.188	0.000541
0.189	0.000516
0.19	0.000493
0.191	0.000470
0.192	0.000448
0.193	0.000427
0.194	0.000407
0.195	0.000387
0.196	0.000368
0.197	0.000351
0.198	0.000333
0.199	0.000317
0.2	0.000301
0.201	0.000286
0.202	0.000272
0.203	0.000258
0.204	0.000245
0.205	0.000232
0.206	0.000220
0.207	0.000208
0.208	0.000197
0.209	0.000187
0.21	0.000177
0.211	0.000167
0.212	0.000158
0.213	0.000150
0.214	0.000141
0.215	0.000134
0.21554	0.000000
